start_ts	endpoint	request_body	request_headers
2021-03-01 00:12:17.339254-08	/status	"{""gcm_id"":""fUcDWMxL-sc:APA91bELOmRHqBkOr9cEZlzkfsFlm8lWSwFXgI5ipMMoP-R0ljaAkqXvLnWfgTgURTctxgABZykyn6qgKQdPoA4Qrys0_e_LLPr_D-BSQ-fpJC-boXNrkrW8tALzioRifEj51YRRrR-J"",""kiosk_id"":790,""retry_queue_length"":0,""num_transactions_pending_sync"":0,""battery_level"":100,""is_locked"":false,""system_uptime"":592463655,""kiosk_temperature"":0,""retry_count"":0,""temperature_tags"":[{""read_count"":4,""read_avg"":-1.28,""epc"":""000047170115990579250149""},{""read_count"":9,""read_avg"":-1.06,""epc"":""000047160115990534900120""}],""kiosk_temperature_count"":0,""time"":1614586314,""kit_temperature"":0,""rfid_0"":4378,""happy_hour"":0,""rfid_1"":3954,""power"":0,""app_uptime"":585039461,""rfid_2"":3976,""rfid_3"":3955,""rfid_4"":3443,""rfid_5"":3429,""rfid_6"":3419,""rfid_7"":3431}"	{'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'Connection': 'Keep-Alive', 'User-Agent': 'okhttp/3.12.4', 'Host': 'kiosk-prod.bytefoods.com', 'Content-Type': 'application/json; charset=utf-8', 'Content-Length': '720'}
2021-03-01 00:11:42.805681-08	/products_and_promotions		{'User-Agent': 'okhttp/3.12.4', 'Connection': 'Keep-Alive', 'If-None-Match': '8b877a111787cdf21a704849a2fce030ebec5d0f', 'Host': 'kiosk-prod.bytefoods.com', 'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw'}
2021-03-01 00:11:59.329972-08	/inventory	"{""retry_count"":0,""time"":1614586296,""epc"":[""000071490115916261470703"",""000085110116008592410763"",""000093690115986165420158"",""000061150116020677660822"",""000061150115989658240587"",""000093690115986165420003"",""000061150116020677660467"",""000061150116020677660476"",""000085110116008592410354"",""000093690115986165420176"",""000085110116008592410753"",""000061150116016412250705"",""000111270116091767120316"",""000111270116091767120258"",""000111270116091767120262"",""000075380115935302530001"",""000047140116061254400849"",""000044040115839946140927"",""000085110116038880060635"",""000064180116057066450515"",""000091730116043132910603"",""000093690116031089570698"",""000065750116071389770643"",""000064190116037103920016"",""000064190116037103920002"",""000064190116037103920008"",""000040610116082000540690"",""000040610116082000540691"",""000040610116082000540695"",""000051110115832341130572"",""000051110115832341130578"",""000040610116082000540694"",""000027840116020713570078"",""000023500116073810700298"",""000027840116116652220999"",""000040890115666434170516"",""000081750116112376090919"",""000061610116058563050660"",""000091730116025015570288"",""000023500116127930280292"",""000092310116127898590981"",""000023500116073810700427"",""000027840116020713570137"",""000081750116112376090971"",""000091730116025015570086"",""000063180115752824410236"",""000081750116112376090821"",""000115710116123537390454"",""000089890116003507590144"",""000089890116003507590036"",""000089890116003507590679"",""000091730116025015570073"",""000089890116003454690074"",""000075390116043131790960"",""000089890116003507590537"",""000042070116111428890580"",""000115720116123538480339"",""000042070116111428890587"",""000042070116111428890588"",""000101900116019237690163"",""000038160115371811190120"",""000089890116003454690101"",""000101780116037098601018"",""000093690116031089570316"",""000075390116043131790938"",""000027840116116652220832"",""000101770116130410541001"",""000099440116107218980277"",""000091430116073395440121"",""000047140116061254400059"",""000042070116111428890581"",""000101760116024989600518"",""000115720116123538480200"",""000042070116111428890542"",""000104480116021690620614"",""000092310116055198880023"",""000111020116121799780805"",""000040880115538449910343"",""000101920116037086490195"",""000043640116031290260022"",""000042070116111428890548"",""000091430116073395440059"",""0000611501160A45109172F2"",""000115720116123538480119""]}"	{'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'Connection': 'Keep-Alive', 'Content-Type': 'application/json; charset=utf-8', 'User-Agent': 'okhttp/3.12.4', 'Content-Length': '2311', 'Host': 'kiosk-prod.bytefoods.com'}
2021-03-01 00:16:42.876926-08	/products_and_promotions		{'Host': 'kiosk-prod.bytefoods.com', 'User-Agent': 'okhttp/3.12.4', 'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'If-None-Match': '8b877a111787cdf21a704849a2fce030ebec5d0f', 'Connection': 'Keep-Alive'}
2021-03-01 00:22:17.386505-08	/status	"{""gcm_id"":""fUcDWMxL-sc:APA91bELOmRHqBkOr9cEZlzkfsFlm8lWSwFXgI5ipMMoP-R0ljaAkqXvLnWfgTgURTctxgABZykyn6qgKQdPoA4Qrys0_e_LLPr_D-BSQ-fpJC-boXNrkrW8tALzioRifEj51YRRrR-J"",""kiosk_id"":790,""retry_queue_length"":0,""num_transactions_pending_sync"":0,""battery_level"":100,""is_locked"":false,""system_uptime"":593063685,""kiosk_temperature"":0,""retry_count"":0,""temperature_tags"":[{""read_count"":3,""read_avg"":-1.35,""epc"":""000047170115990579250149""},{""read_count"":10,""read_avg"":-1.51,""epc"":""000047160115990534900120""}],""kiosk_temperature_count"":0,""time"":1614586914,""kit_temperature"":0,""rfid_0"":4367,""happy_hour"":0,""rfid_1"":3969,""power"":0,""app_uptime"":585639491,""rfid_2"":3963,""rfid_3"":3968,""rfid_4"":3438,""rfid_5"":3420,""rfid_6"":3457,""rfid_7"":3419}"	{'Connection': 'Keep-Alive', 'User-Agent': 'okhttp/3.12.4', 'Host': 'kiosk-prod.bytefoods.com', 'Content-Type': 'application/json; charset=utf-8', 'Content-Length': '721', 'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw'}
2021-03-01 00:21:42.855786-08	/products_and_promotions		{'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'Host': 'kiosk-prod.bytefoods.com', 'If-None-Match': '8b877a111787cdf21a704849a2fce030ebec5d0f', 'User-Agent': 'okhttp/3.12.4', 'Connection': 'Keep-Alive'}
2021-03-01 00:26:43.009335-08	/products_and_promotions		{'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'Connection': 'Keep-Alive', 'If-None-Match': '8b877a111787cdf21a704849a2fce030ebec5d0f', 'User-Agent': 'okhttp/3.12.4', 'Host': 'kiosk-prod.bytefoods.com'}
2021-03-01 00:32:17.507012-08	/status	"{""gcm_id"":""fUcDWMxL-sc:APA91bELOmRHqBkOr9cEZlzkfsFlm8lWSwFXgI5ipMMoP-R0ljaAkqXvLnWfgTgURTctxgABZykyn6qgKQdPoA4Qrys0_e_LLPr_D-BSQ-fpJC-boXNrkrW8tALzioRifEj51YRRrR-J"",""kiosk_id"":790,""retry_queue_length"":0,""num_transactions_pending_sync"":0,""battery_level"":100,""is_locked"":false,""system_uptime"":593663711,""kiosk_temperature"":0,""retry_count"":0,""temperature_tags"":[{""read_count"":5,""read_avg"":-1.43,""epc"":""000047170115990579250149""},{""read_count"":10,""read_avg"":-1.41,""epc"":""000047160115990534900120""}],""kiosk_temperature_count"":0,""time"":1614587514,""kit_temperature"":0,""rfid_0"":4397,""happy_hour"":0,""rfid_1"":3941,""power"":0,""app_uptime"":586239517,""rfid_2"":3988,""rfid_3"":3943,""rfid_4"":3457,""rfid_5"":3398,""rfid_6"":3392,""rfid_7"":3441}"	{'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'User-Agent': 'okhttp/3.12.4', 'Connection': 'Keep-Alive', 'Content-Type': 'application/json; charset=utf-8', 'Content-Length': '721', 'Host': 'kiosk-prod.bytefoods.com'}
2021-03-01 00:31:42.889453-08	/products_and_promotions		{'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'If-None-Match': '8b877a111787cdf21a704849a2fce030ebec5d0f', 'User-Agent': 'okhttp/3.12.4', 'Connection': 'Keep-Alive', 'Host': 'kiosk-prod.bytefoods.com'}
2021-03-01 00:36:42.93428-08	/products_and_promotions		{'If-None-Match': '8b877a111787cdf21a704849a2fce030ebec5d0f', 'Host': 'kiosk-prod.bytefoods.com', 'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'User-Agent': 'okhttp/3.12.4', 'Connection': 'Keep-Alive'}
